component_run_id,experiment_id,run_id,file_timestamp,condition,defense,attack,raw_attack,model,dataset,repetition
server:time_20260721_141335,exp_1784657615,run_1784657615,20260721_141335,flame_blind,flame,,,,,
server:time_20260721_143020,exp_1784658620,run_1784658620,20260721_143020,flame_blind,flame,,,,,
server:time_20260721_143821,exp_1784659101,run_1784659101,20260721_143821,flame_blind,flame,,,,,
server:time_20260721_191217,exp_1784675537,run_1784675537,20260721_191217,krum_blind,krum,,,,,
server:time_20260721_194624,exp_1784677584,run_1784677584,20260721_194624,krum_blind,krum,,,,,
server:time_20260719_140053,exp_1784484053,run_1784484053,20260719_140053,krum_blind,krum,,,,,
server:time_20260719_141314,exp_1784484794,run_1784484794,20260719_141314,krum_blind,krum,,,,,
server:time_20260719_142839,exp_1784485719,run_1784485719,20260719_142839,krum_blind,krum,,,,,
server:time_20260721_182927,exp_1784672967,run_1784672967,20260721_182927,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260721_184452,exp_1784673892,run_1784673892,20260721_184452,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260721_175223,exp_1784670743,run_1784670743,20260721_175223,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260721_180518,exp_1784671518,run_1784671518,20260721_180518,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260721_181536,exp_1784672136,run_1784672136,20260721_181536,trimmed_mean_blind,trimmed_mean,,,,,
server:time_20260719_171630,exp_1784495790,run_1784495790,20260719_171630,multi_krum_blind,multi_krum,,,,,
server:time_20260719_173829,exp_1784497109,run_1784497109,20260719_173829,multi_krum_blind,multi_krum,,,,,
server:time_20260723_200052,exp_1784851252,run_1784851252,20260723_200052,fedavg_blind,fedavg,,,,,
server:time_20260720_003416,exp_1784522056,run_1784522056,20260720_003416,fedavg_blind,fedavg,,,,,
analyzer:time_20260721_135542,exp_1784656545,,20260721_135542,exp1,,,,,,
proxy:time_20260721_135825,exp_1784656617,run_1784656617,20260721_135825,exp1,flame,envelope,noise,,,
server:time_20260721_133251,exp_1784655171,run_1784655171,20260721_133251,flame_blind,flame,,,,,
server:time_20260721_125810,exp_1784653090,run_1784653090,20260721_125810,flame_blind,flame,,,,,
analyzer:time_20260721_125724,exp_1784653049,,20260721_125724,exp1,,,,,,
proxy:time_20260721_125937,exp_1784653090,run_1784653090,20260721_125937,exp1,flame,envelope,scale,,,
server:time_20260721_130858,exp_1784653738,run_1784653738,20260721_130858,flame_blind,flame,,,,,
server:time_20260720_004417,exp_1784522657,run_1784522657,20260720_004417,krum_blind,krum,,,,,
